,gene_name,start,end_coord,strand,gene_product,COG_id,cog,uniprot,operon,tu_name,ncbi_protein,gene_name_extra,specific_gos_n,specific_gos
EQU24_RS12740,purH,2856813,2858373,1,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,F,Nucleotide transport and metabolism,A0A4P9UP23,1234,purH,WP_017839144.1,purH||purH,"'de novo' IMP biosynthetic process
purine ribonucleotide biosynthetic process
ribonucleotide biosynthetic process
nucleotide biosynthetic process
purine nucleotide biosynthetic process","[""'de novo' IMP biosynthetic process""
 'purine ribonucleotide biosynthetic process'
 'ribonucleotide biosynthetic process' 'nucleotide biosynthetic process'
 'purine nucleotide biosynthetic process']"
EQU24_RS12750,purD,2858820,2860095,1,phosphoribosylamine--glycine ligase,F,Nucleotide transport and metabolism,A0A4P9UNT9,1232,purD,WP_017839143.1,purD||purD,"'de novo' IMP biosynthetic process
ATP hydrolysis activity
ATP hydrolysis activity
purine ribonucleotide biosynthetic process
purine nucleotide biosynthetic process","[""'de novo' IMP biosynthetic process"" 'ATP hydrolysis activity'
 'ATP hydrolysis activity' 'purine ribonucleotide biosynthetic process'
 'purine nucleotide biosynthetic process']"
EQU24_RS12755,,2860323,2860881,1,Uma2 family endonuclease,S,Function unknown,A0A4P9UNP5,1231,EQU24_RS12755,WP_017839142.1,||None,"endonuclease activity
nucleic acid phosphodiester bond hydrolysis",['endonuclease activity' 'nucleic acid phosphodiester bond hydrolysis']
EQU24_RS12760,phoU,2861175,2861895,-1,phosphate signaling complex protein PhoU,P,Inorganic ion transport and metabolism,A0A4P9UR32,1120,phoU,WP_017839141.1,phoU||phoU,"negative regulation of phosphate transmembrane transport
regulation of phosphate transmembrane transport
negative regulation of inorganic anion transmembrane transport
regulation of inorganic anion transmembrane transport
negative regulation of phosphate metabolic process","['negative regulation of phosphate transmembrane transport'
 'regulation of phosphate transmembrane transport'
 'negative regulation of inorganic anion transmembrane transport'
 'regulation of inorganic anion transmembrane transport'
 'negative regulation of phosphate metabolic process']"
EQU24_RS12765,,2862195,2863032,-1,phosphate ABC transporter ATP-binding protein,P,Inorganic ion transport and metabolism,A0A4P9URN0,1230,EQU24_RS12765,WP_026129990.1,||pstB,"phosphate ion transport
ATP hydrolysis activity
ATP hydrolysis activity
inorganic anion transport
nucleoside-triphosphatase activity","['phosphate ion transport' 'ATP hydrolysis activity'
 'ATP hydrolysis activity' 'inorganic anion transport'
 'nucleoside-triphosphatase activity']"
EQU24_RS12770,pstA,2863145,2864798,-1,phosphate ABC transporter permease PstA,P,Inorganic ion transport and metabolism,A0A4P9UNP7,1229,EQU24_RS12775 // pstA,WP_017839139.1,pstA||pstA,"phosphate ion transmembrane transport
inorganic phosphate transmembrane transporter activity
integral component of plasma membrane","['phosphate ion transmembrane transport'
 'inorganic phosphate transmembrane transporter activity'
 'integral component of plasma membrane']"
EQU24_RS12775,,2864794,2867065,-1,ABC transporter permease subunit,P,Inorganic ion transport and metabolism,A0A4P9UR43,1229,EQU24_RS12775 // pstA,WP_017839138.1,||None,"plasma membrane
integral component of membrane
transmembrane transport","['plasma membrane' 'integral component of membrane'
 'transmembrane transport']"
EQU24_RS12780,pstS,2867324,2868317,-1,phosphate ABC transporter substrate-binding protein PstS family protein,P,Inorganic ion transport and metabolism,,1228,EQU24_RS12785 // pstS,WP_235726445.1,pstS||None,phosphate ion binding,['phosphate ion binding']
EQU24_RS12785,,2868328,2868538,-1,hypothetical protein,X,No COG annotation,,1228,EQU24_RS12785 // pstS,,||,,[]
EQU24_RS12790,,2868790,2869297,-1,hypothetical protein,T,Signal transduction mechanisms,A0A4P9UTI6,1227,EQU24_RS12790,WP_026129989.1,||None,hydrolase activity,['hydrolase activity']
EQU24_RS12795,,2869552,2871076,1,CHAD domain-containing protein,S,Function unknown,A0A4P9UP33,1226,EQU24_RS12800 // EQU24_RS12795,WP_017839134.1,||None,,[]
EQU24_RS12800,,2871115,2871856,1,ParA family protein,D,"Cell cycle control, cell division, chromosome partitioning",A0A4P9UNU8,1226,EQU24_RS12800 // EQU24_RS12795,WP_017839133.1,||None,,[]
EQU24_RS12805,,2872306,2873593,1,IS4 family transposase,L,"Replication, recombination and repair",,1225,EQU24_RS12805,WP_244310887.1,||None,"DNA binding
transposase activity
transposition, DNA-mediated
integral component of membrane","['DNA binding' 'transposase activity' 'transposition, DNA-mediated'
 'integral component of membrane']"
EQU24_RS12810,ltrA,2874353,2875532,1,group II intron reverse transcriptase/maturase,L,"Replication, recombination and repair",A0A4P9UR40,1224,ltrA,WP_017839828.1,ltrA||ltrA,"RNA-templated DNA biosynthetic process
RNA-directed DNA polymerase activity","['RNA-templated DNA biosynthetic process'
 'RNA-directed DNA polymerase activity']"
EQU24_RS12815,,2875910,2876903,-1,cytosolic protein,S,Function unknown,UPI00110CE264,1223,EQU24_RS12815,WP_138767173.1,||None,,[]
EQU24_RS12820,,2877455,2877638,1,type II toxin-antitoxin system HicA family toxin,N,Cell motility,A0A4P9UNQ6,1222,EQU24_RS12825 // EQU24_RS12820,WP_017839128.1,||None,mRNA binding,['mRNA binding']
EQU24_RS12825,,2877647,2878040,1,type II toxin-antitoxin system HicB family antitoxin,S,Function unknown,A0A4P9UME7,1222,EQU24_RS12825 // EQU24_RS12820,WP_017839127.1,||None,"regulation of transcription, DNA-templated","['regulation of transcription, DNA-templated']"
EQU24_RS12830,,2878371,2878833,-1,prepilin-type N-terminal cleavage/methylation domain-containing protein,N,Cell motility,,1221,EQU24_RS12830,,||None,"protein secretion by the type II secretion system
integral component of membrane
type II protein secretion system complex","['protein secretion by the type II secretion system'
 'integral component of membrane'
 'type II protein secretion system complex']"
EQU24_RS12835,,2878875,2879517,1,prepilin-type N-terminal cleavage/methylation domain-containing protein,N,Cell motility,UPI0003454D69,1220,EQU24_RS12855 // EQU24_RS12850 // EQU24_RS12845 // EQU24_RS12840 // EQU24_RS12835,WP_017839125.1,||None,"protein secretion by the type II secretion system
integral component of membrane
type II protein secretion system complex","['protein secretion by the type II secretion system'
 'integral component of membrane'
 'type II protein secretion system complex']"
EQU24_RS12840,,2879551,2880061,1,prepilin-type N-terminal cleavage/methylation domain-containing protein,N,Cell motility,A0A4P9UVM8,1220,EQU24_RS12855 // EQU24_RS12850 // EQU24_RS12845 // EQU24_RS12840 // EQU24_RS12835,WP_017839124.1,||None,"protein secretion by the type II secretion system
integral component of membrane
type II protein secretion system complex","['protein secretion by the type II secretion system'
 'integral component of membrane'
 'type II protein secretion system complex']"
EQU24_RS12845,,2880078,2880837,1,hypothetical protein,X,No COG annotation,A0A4P9UTJ4,1220,EQU24_RS12855 // EQU24_RS12850 // EQU24_RS12845 // EQU24_RS12840 // EQU24_RS12835,WP_017839123.1,||None,integral component of membrane,['integral component of membrane']
EQU24_RS12850,,2880859,2882143,1,hypothetical protein,X,No COG annotation,A0A4P9UP42,1220,EQU24_RS12855 // EQU24_RS12850 // EQU24_RS12845 // EQU24_RS12840 // EQU24_RS12835,WP_017839122.1,||None,integral component of membrane,['integral component of membrane']
EQU24_RS12855,,2882161,2884495,1,hypothetical protein,X,No COG annotation,A0A4P9UNV7,1220,EQU24_RS12855 // EQU24_RS12850 // EQU24_RS12845 // EQU24_RS12840 // EQU24_RS12835,WP_017839121.1,||None,integral component of membrane,['integral component of membrane']
EQU24_RS12865,,2884859,2885912,1,M23 family metallopeptidase,M,Cell wall/membrane/envelope biogenesis,UPI00034A99B6,1218,EQU24_RS12865,WP_017839119.1,||None,integral component of membrane,['integral component of membrane']
EQU24_RS12870,,2886390,2886705,-1,hypothetical protein,X,No COG annotation,A0A4P9UR51,1217,EQU24_RS12875 // EQU24_RS12870,WP_017839118.1,||None,nucleotidyltransferase activity,['nucleotidyltransferase activity']
EQU24_RS12875,,2886691,2887126,-1,HEPN domain-containing protein,X,No COG annotation,A0A4P9URP7,1217,EQU24_RS12875 // EQU24_RS12870,WP_017839117.1,||None,,[]
EQU24_RS12880,,2887174,2887888,-1,hypothetical protein,X,No COG annotation,A0A4P9UNR5,1216,EQU24_RS12880,WP_017839116.1,||None,integral component of membrane,['integral component of membrane']
EQU24_RS12885,,2888307,2889345,-1,lytic transglycosylase domain-containing protein,M,Cell wall/membrane/envelope biogenesis,,1215,EQU24_RS12885,WP_017839115.1,||None,"peptidoglycan metabolic process
lytic transglycosylase activity
membrane","['peptidoglycan metabolic process' 'lytic transglycosylase activity'
 'membrane']"
EQU24_RS12890,,2890532,2891087,1,TRAP transporter small permease subunit,Q,"Secondary metabolites biosynthesis, transport, and catabolism",A0A4P9UR65,1214,xerC // EQU24_RS12915 // dapF // lysA // EQU24_RS12900 // EQU24_RS12895 // EQU24_RS12890,WP_017839113.1,||None,integral component of membrane,['integral component of membrane']
EQU24_RS12895,,2891087,2892473,1,TRAP transporter large permease subunit,Q,"Secondary metabolites biosynthesis, transport, and catabolism",A0A4P9UNU4,1214,xerC // EQU24_RS12915 // dapF // lysA // EQU24_RS12900 // EQU24_RS12895 // EQU24_RS12890,WP_017839112.1,||None,integral component of membrane,['integral component of membrane']
EQU24_RS12900,,2892469,2892622,1,lipoprotein,X,No COG annotation,UPI00034B2D9E,1214,xerC // EQU24_RS12915 // dapF // lysA // EQU24_RS12900 // EQU24_RS12895 // EQU24_RS12890,WP_017839111.1,||None,,[]
EQU24_RS12905,lysA,2892625,2893885,1,diaminopimelate decarboxylase,E,Amino acid transport and metabolism,A0A4P9UTK3,1214,xerC // EQU24_RS12915 // dapF // lysA // EQU24_RS12900 // EQU24_RS12895 // EQU24_RS12890,WP_017839110.1,lysA||lysA,"lysine biosynthetic process via diaminopimelate
lysine biosynthetic process
diaminopimelate metabolic process
lysine metabolic process
aspartate family amino acid biosynthetic process","['lysine biosynthetic process via diaminopimelate'
 'lysine biosynthetic process' 'diaminopimelate metabolic process'
 'lysine metabolic process'
 'aspartate family amino acid biosynthetic process']"
EQU24_RS12910,dapF,2893901,2894729,1,diaminopimelate epimerase,E,Amino acid transport and metabolism,,1214,xerC // EQU24_RS12915 // dapF // lysA // EQU24_RS12900 // EQU24_RS12895 // EQU24_RS12890,WP_235726443.1,dapF||dapF,"lysine biosynthetic process via diaminopimelate
diaminopimelate metabolic process
diaminopimelate epimerase activity
lysine biosynthetic process
aspartate family amino acid biosynthetic process","['lysine biosynthetic process via diaminopimelate'
 'diaminopimelate metabolic process' 'diaminopimelate epimerase activity'
 'lysine biosynthetic process'
 'aspartate family amino acid biosynthetic process']"
EQU24_RS12915,,2894725,2895421,1,DUF484 family protein,S,Function unknown,A0A4P9UNW5,1214,xerC // EQU24_RS12915 // dapF // lysA // EQU24_RS12900 // EQU24_RS12895 // EQU24_RS12890,WP_017839108.1,||None,,[]
EQU24_RS12920,xerC,2895413,2896322,1,tyrosine recombinase XerC,D,"Cell cycle control, cell division, chromosome partitioning",A0A4P9UNS2,1214,xerC // EQU24_RS12915 // dapF // lysA // EQU24_RS12900 // EQU24_RS12895 // EQU24_RS12890,WP_017839107.1,xerC||xerC,"plasmid recombination
resolution of recombination intermediates
DNA integration
tyrosine-based site-specific recombinase activity
DNA recombination","['plasmid recombination' 'resolution of recombination intermediates'
 'DNA integration' 'tyrosine-based site-specific recombinase activity'
 'DNA recombination']"
EQU24_RS12925,,2896773,2897814,1,DUF2333 family protein,S,Function unknown,A0A4P9UR63,1213,dinB // EQU24_RS12930 // EQU24_RS12925,WP_017839106.1,||None,integral component of membrane,['integral component of membrane']
EQU24_RS12930,,2897822,2898131,1,DUF4389 domain-containing protein,S,Function unknown,A0A4P9URQ6,1213,dinB // EQU24_RS12930 // EQU24_RS12925,WP_017839105.1,||None,integral component of membrane,['integral component of membrane']
EQU24_RS12935,dinB,2898152,2899232,1,DNA polymerase IV,L,"Replication, recombination and repair",A0A4P9UNS8,1213,dinB // EQU24_RS12930 // EQU24_RS12925,WP_017839104.1,dinB||dinB,"error-prone translesion synthesis
translesion synthesis
postreplication repair
DNA synthesis involved in DNA repair
DNA-templated DNA replication","['error-prone translesion synthesis' 'translesion synthesis'
 'postreplication repair' 'DNA synthesis involved in DNA repair'
 'DNA-templated DNA replication']"
EQU24_RS12940,,2899266,2899818,-1,DUF615 domain-containing protein,S,Function unknown,A0A4P9UR75,1212,EQU24_RS12945 // EQU24_RS12940,WP_017839103.1,||None,"cytoplasm
intracellular anatomical structure
cytosol
cellular_component
","['cytoplasm' 'intracellular anatomical structure' 'cytosol'
 'cellular_component' '']"
EQU24_RS12945,,2899819,2900008,-1,hypothetical protein,X,No COG annotation,A0A4P9UNV1,1212,EQU24_RS12945 // EQU24_RS12940,WP_017839102.1,||None,integral component of membrane,['integral component of membrane']
EQU24_RS12950,,2900264,2900789,-1,DNA-deoxyinosine glycosylase,L,"Replication, recombination and repair",A0A4V1IJY7,1211,EQU24_RS12950,WP_017839101.1,||None,"DNA-deoxyinosine glycosylase activity
metabolic process",['DNA-deoxyinosine glycosylase activity' 'metabolic process']
EQU24_RS12955,rdgC,2900953,2901862,1,recombination-associated protein RdgC,L,"Replication, recombination and repair",A0A4P9UTD6,1210,EQU24_RS12960 // rdgC,WP_017839100.1,rdgC||rdgC,"regulation of DNA recombination
single-stranded DNA binding
regulation of DNA metabolic process
DNA recombination
regulation of nucleobase-containing compound metabolic process","['regulation of DNA recombination' 'single-stranded DNA binding'
 'regulation of DNA metabolic process' 'DNA recombination'
 'regulation of nucleobase-containing compound metabolic process']"
EQU24_RS12960,,2901858,2902848,1,"L,D-transpeptidase family protein",M,Cell wall/membrane/envelope biogenesis,A0A4P9UTL2,1210,EQU24_RS12960 // rdgC,WP_017839099.1,||None,"peptidoglycan-protein cross-linking
peptidoglycan L,D-transpeptidase activity
serine-type carboxypeptidase activity
cysteine-type carboxypeptidase activity
peptidoglycan biosynthetic process","['peptidoglycan-protein cross-linking'
 'peptidoglycan L,D-transpeptidase activity'
 'serine-type carboxypeptidase activity'
 'cysteine-type carboxypeptidase activity'
 'peptidoglycan biosynthetic process']"
EQU24_RS12965,,2903353,2903632,-1,hypothetical protein,S,Function unknown,A0A4P9UP63,1209,EQU24_RS12965,WP_017839098.1,||None,,[]
EQU24_RS12970,,2903730,2904333,-1,"L,D-transpeptidase family protein",S,Function unknown,UPI00034C80CC,1208,EQU24_RS12970,WP_138767174.1,||None,transferase activity,['transferase activity']
EQU24_RS12975,,2904346,2905981,1,alpha-D-glucose phosphate-specific phosphoglucomutase,G,Carbohydrate transport and metabolism,A0A4P9UNT1,1207,EQU24_RS12975,WP_017839096.1,||None,"starch biosynthetic process
glycogen biosynthetic process
glycogen metabolic process
chloroplast
galactose catabolic process","['starch biosynthetic process' 'glycogen biosynthetic process'
 'glycogen metabolic process' 'chloroplast' 'galactose catabolic process']"
EQU24_RS12980,,2906226,2907051,-1,ZIP family metal transporter,P,Inorganic ion transport and metabolism,A0A4P9URD3,1206,rluD // pgeF // EQU24_RS12980,WP_017839095.1,||None,"metal ion transport
metal ion transmembrane transporter activity
integral component of membrane
transmembrane transport","['metal ion transport' 'metal ion transmembrane transporter activity'
 'integral component of membrane' 'transmembrane transport']"
EQU24_RS12985,pgeF,2907058,2907793,-1,peptidoglycan editing factor PgeF,S,Function unknown,A0A4P9URR5,1206,rluD // pgeF // EQU24_RS12980,WP_017839094.1,pgeF||pgeF,"copper ion binding
transition metal ion binding
oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor
protein homodimerization activity
metal ion binding","['copper ion binding' 'transition metal ion binding'
 'oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor'
 'protein homodimerization activity' 'metal ion binding']"
EQU24_RS12990,rluD,2907779,2908724,-1,23S rRNA pseudouridine(1911/1915/1917) synthase RluD,J,"Translation, ribosomal structure and biogenesis",A0A4P9UNT7,1206,rluD // pgeF // EQU24_RS12980,WP_017839093.1,rluD||rluD,"rRNA processing
enzyme-directed rRNA pseudouridine synthesis
rRNA pseudouridine synthesis
ncRNA processing
ribosomal large subunit assembly","['rRNA processing' 'enzyme-directed rRNA pseudouridine synthesis'
 'rRNA pseudouridine synthesis' 'ncRNA processing'
 'ribosomal large subunit assembly']"
EQU24_RS12995,,2908858,2909695,1,outer membrane protein assembly factor BamD,M,Cell wall/membrane/envelope biogenesis,A0A4P9UR86,1205,EQU24_RS12995,WP_017839092.1,||None,"Gram-negative-bacterium-type cell outer membrane assembly
membrane assembly
cell envelope organization
protein insertion into membrane
cell outer membrane","['Gram-negative-bacterium-type cell outer membrane assembly'
 'membrane assembly' 'cell envelope organization'
 'protein insertion into membrane' 'cell outer membrane']"
EQU24_RS13000,,2909798,2911178,-1,L-serine ammonia-lyase,E,Amino acid transport and metabolism,A0A4P9UNV9,1204,EQU24_RS13000,WP_017839091.1,||None,"gluconeogenesis
L-serine ammonia-lyase activity
metal ion binding
4 iron, 4 sulfur cluster binding","['gluconeogenesis' 'L-serine ammonia-lyase activity' 'metal ion binding'
 '4 iron, 4 sulfur cluster binding']"
EQU24_RS13005,,2911583,2912762,1,hypothetical protein,M,Cell wall/membrane/envelope biogenesis,A0A4V1IJY8,1203,EQU24_RS13005,WP_017839090.1,||None,"serine-type carboxypeptidase activity
proteolysis
membrane",['serine-type carboxypeptidase activity' 'proteolysis' 'membrane']
EQU24_RS13010,,2913604,2914417,-1,"L,D-transpeptidase family protein",S,Function unknown,A0A4P9UTM2,1202,EQU24_RS13010,WP_017839089.1,||None,transferase activity,['transferase activity']
EQU24_RS13015,,2914558,2914747,-1,hypothetical protein,X,No COG annotation,,1201,EQU24_RS13015,,||,,[]
EQU24_RS13025,,2915594,2916221,1,class I SAM-dependent methyltransferase,Q,"Secondary metabolites biosynthesis, transport, and catabolism",A0A4P9UNY0,1199,EQU24_RS13025,WP_017839087.1,||None,"methyltransferase activity
methylation",['methyltransferase activity' 'methylation']
EQU24_RS13035,mtgA,2917368,2918124,1,monofunctional biosynthetic peptidoglycan transglycosylase,M,Cell wall/membrane/envelope biogenesis,,1197,mtgA,WP_235726442.1,mtgA||mtgA,"peptidoglycan biosynthetic process
glycosaminoglycan biosynthetic process
peptidoglycan metabolic process
glycosaminoglycan metabolic process
cell wall macromolecule biosynthetic process","['peptidoglycan biosynthetic process'
 'glycosaminoglycan biosynthetic process'
 'peptidoglycan metabolic process' 'glycosaminoglycan metabolic process'
 'cell wall macromolecule biosynthetic process']"
EQU24_RS13040,,2918097,2918364,-1,hypothetical protein,X,No COG annotation,,1196,EQU24_RS13040,,||,,[]
EQU24_RS13045,,2918882,2920169,1,ISNCY family transposase,L,"Replication, recombination and repair",UPI001AD92082,1195,EQU24_RS13045,WP_209005071.1,||None,"DNA binding
transposase activity
transposition, DNA-mediated
integral component of membrane","['DNA binding' 'transposase activity' 'transposition, DNA-mediated'
 'integral component of membrane']"
EQU24_RS13050,,2920282,2920885,-1,DUF1353 domain-containing protein,S,Function unknown,A0A4P9URE2,1194,EQU24_RS13050,WP_017839083.1,||None,integral component of membrane,['integral component of membrane']
EQU24_RS13055,,2921024,2921258,1,hypothetical protein,X,No COG annotation,,1193,EQU24_RS13055,,||,,[]
EQU24_RS13060,def,2921548,2922097,-1,peptide deformylase,J,"Translation, ribosomal structure and biogenesis",,1192,def,WP_017839082.1,def||def,"peptidyl-methionine modification
co-translational protein modification
peptidyl-amino acid modification
N-terminal protein amino acid modification
translation","['peptidyl-methionine modification'
 'co-translational protein modification'
 'peptidyl-amino acid modification'
 'N-terminal protein amino acid modification' 'translation']"
EQU24_RS13065,,2922154,2923030,-1,LysR family transcriptional regulator,K,Transcription,A0A4P9UNU7,1191,EQU24_RS13065,WP_017839081.1,||None,"regulation of transcription, DNA-templated
DNA binding
DNA-binding transcription factor activity","['regulation of transcription, DNA-templated' 'DNA binding'
 'DNA-binding transcription factor activity']"
EQU24_RS13070,,2923147,2923474,1,EthD family reductase,S,Function unknown,A0A4P9UR94,1190,EQU24_RS13070,WP_017839080.1,||None,,[]
EQU24_RS13075,,2923532,2924117,1,hypothetical protein,X,No COG annotation,,1189,EQU24_RS13075,WP_017839079.1,||None,integral component of membrane,['integral component of membrane']
EQU24_RS13080,,2924160,2925051,1,poly(3-hydroxybutyrate) depolymerase,Q,"Secondary metabolites biosynthesis, transport, and catabolism",UPI00034B58EC,1188,EQU24_RS13080,WP_138767176.1,||None,integral component of membrane,['integral component of membrane']
EQU24_RS13085,,2925244,2926213,1,MBL fold metallo-hydrolase,S,Function unknown,A0A4V1IJY9,1187,EQU24_RS13085,WP_017839076.1,||None,hydrolase activity,['hydrolase activity']
EQU24_RS13090,,2926330,2926672,-1,type II toxin-antitoxin system PemK/MazF family toxin,T,Signal transduction mechanisms,UPI00034748F9,1186,EQU24_RS13090,WP_017839075.1,||None,DNA binding,['DNA binding']
EQU24_RS13095,,2927253,2927640,-1,hypothetical protein,X,No COG annotation,A0A4P9UTN1,1185,EQU24_RS13100 // EQU24_RS13095,WP_017839074.1,||None,,[]
EQU24_RS13100,,2927636,2927867,-1,DUF433 domain-containing protein,S,Function unknown,A0A4P9UP81,1185,EQU24_RS13100 // EQU24_RS13095,WP_017839073.1,||None,DNA binding,['DNA binding']
EQU24_RS13110,,2928627,2929353,-1,glutathione S-transferase family protein,O,"Post-translational modification, protein turnover, and chaperones",A0A4P9UNZ1,1183,EQU24_RS13110,WP_017839072.1,||None,"transferase activity
protein binding",['transferase activity' 'protein binding']
EQU24_RS13120,cysZ,2929924,2930656,-1,sulfate transporter CysZ,E,Amino acid transport and metabolism,A0A4P9UNV0,1181,mtnA // cysZ,WP_017839071.1,cysZ||cysZ,"high-affinity sulfate:proton symporter activity
solute:proton symporter activity
sulfate transmembrane transport
proton transmembrane transport
cysteine biosynthetic process","['high-affinity sulfate:proton symporter activity'
 'solute:proton symporter activity' 'sulfate transmembrane transport'
 'proton transmembrane transport' 'cysteine biosynthetic process']"
EQU24_RS13125,mtnA,2930652,2931687,-1,S-methyl-5-thioribose-1-phosphate isomerase,J,"Translation, ribosomal structure and biogenesis",A0A4P9URF0,1181,mtnA // cysZ,WP_017839070.1,mtnA||mtnA,"L-methionine biosynthetic process
L-methionine salvage from methylthioadenosine
L-methionine salvage from S-adenosylmethionine
methionine biosynthetic process
aspartate family amino acid biosynthetic process","['L-methionine biosynthetic process'
 'L-methionine salvage from methylthioadenosine'
 'L-methionine salvage from S-adenosylmethionine'
 'methionine biosynthetic process'
 'aspartate family amino acid biosynthetic process']"
EQU24_RS13130,,2931799,2933110,1,TRZ/ATZ family hydrolase,F,Nucleotide transport and metabolism,A0A4P9URT1,1180,EQU24_RS13130,WP_017839069.1,||None,"metal ion binding
S-adenosylhomocysteine deaminase activity
5'-methylthioadenosine deaminase activity","['metal ion binding' 'S-adenosylhomocysteine deaminase activity'
 ""5'-methylthioadenosine deaminase activity""]"
EQU24_RS13135,ubiG,2933190,2933898,1,bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG,H,Coenzyme transport and metabolism,A0A4P9UNV6,1179,sufT // EQU24_RS13145 // EQU24_RS13140 // ubiG,WP_017839068.1,ubiG||ubiG,"2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity
ubiquinone biosynthetic process
2-octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone methyltransferase activity
3-demethylubiquinol-n 3-O-methyltransferase activity
3-demethylubiquinone-9 3-O-methyltransferase activity","['2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity'
 'ubiquinone biosynthetic process'
 '2-octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone methyltransferase activity'
 '3-demethylubiquinol-n 3-O-methyltransferase activity'
 '3-demethylubiquinone-9 3-O-methyltransferase activity']"
EQU24_RS13140,,2933900,2934581,1,HAD-IA family hydrolase,G,Carbohydrate transport and metabolism,A0A4P9URA2,1179,sufT // EQU24_RS13145 // EQU24_RS13140 // ubiG,WP_017839067.1,||None,"peptidoglycan turnover
peptidoglycan metabolic process
phosphoglycolate phosphatase activity
N-acetylmuramic acid metabolic process
phosphatase activity","['peptidoglycan turnover' 'peptidoglycan metabolic process'
 'phosphoglycolate phosphatase activity'
 'N-acetylmuramic acid metabolic process' 'phosphatase activity']"
EQU24_RS13145,,2934571,2935321,1,SDR family NAD(P)-dependent oxidoreductase,I,Lipid transport and metabolism,A0A4P9UNX7,1179,sufT // EQU24_RS13145 // EQU24_RS13140 // ubiG,WP_017839066.1,||None,"organic substance catabolic process
oxidoreductase activity
intracellular anatomical structure
catabolic process
organic substance metabolic process","['organic substance catabolic process' 'oxidoreductase activity'
 'intracellular anatomical structure' 'catabolic process'
 'organic substance metabolic process']"
EQU24_RS13150,sufT,2935313,2935862,1,putative Fe-S cluster assembly protein SufT,S,Function unknown,A0A4V1IJZ0,1179,sufT // EQU24_RS13145 // EQU24_RS13140 // ubiG,WP_017839065.1,sufT||sufT,,[]
EQU24_RS13155,,2936190,2936382,-1,hypothetical protein,X,No COG annotation,,1178,EQU24_RS13155,,||,,[]
EQU24_RS13160,,2936767,2938405,1,sodium:proton antiporter,P,Inorganic ion transport and metabolism,A0A4P9UP88,1177,EQU24_RS13160,WP_017839064.1,||None,"solute:proton antiporter activity
proton transmembrane transport
integral component of membrane","['solute:proton antiporter activity' 'proton transmembrane transport'
 'integral component of membrane']"
EQU24_RS13165,,2939379,2940315,-1,YncE family protein,X,No COG annotation,A0A4P9UTE5,1176,EQU24_RS13170 // EQU24_RS13165,WP_017839062.1,||None,protein binding,['protein binding']
EQU24_RS13170,,2940353,2940914,-1,SRPBCC family protein,S,Function unknown,A0A4P9UP00,1176,EQU24_RS13170 // EQU24_RS13165,WP_017839061.1,||None,,[]
EQU24_RS13175,,2941533,2942724,-1,O-succinylhomoserine sulfhydrylase,E,Amino acid transport and metabolism,A0A4P9UNW0,1175,EQU24_RS13175,WP_017839060.1,||None,"'de novo' L-methionine biosynthetic process
homocysteine biosynthetic process
methionine biosynthetic process
aspartate family amino acid biosynthetic process
transsulfuration","[""'de novo' L-methionine biosynthetic process""
 'homocysteine biosynthetic process' 'methionine biosynthetic process'
 'aspartate family amino acid biosynthetic process' 'transsulfuration']"
EQU24_RS13180,purF,2942780,2944289,-1,amidophosphoribosyltransferase,F,Nucleotide transport and metabolism,A0A4P9URF9,1174,folC // EQU24_RS13190 // EQU24_RS13185 // purF,WP_017839059.1,purF||purF,"'de novo' IMP biosynthetic process
glutamine metabolic process
purine nucleobase biosynthetic process
chloroplast
purine nucleotide biosynthetic process","[""'de novo' IMP biosynthetic process"" 'glutamine metabolic process'
 'purine nucleobase biosynthetic process' 'chloroplast'
 'purine nucleotide biosynthetic process']"
EQU24_RS13185,,2944310,2944826,-1,CvpA family protein,S,Function unknown,,1174,folC // EQU24_RS13190 // EQU24_RS13185 // purF,WP_040575265.1,||None,"toxin biosynthetic process
integral component of membrane
plasma membrane
secondary metabolite biosynthetic process
cellular biosynthetic process","['toxin biosynthetic process' 'integral component of membrane'
 'plasma membrane' 'secondary metabolite biosynthetic process'
 'cellular biosynthetic process']"
EQU24_RS13190,,2944822,2945833,-1,SPOR domain-containing protein,D,"Cell cycle control, cell division, chromosome partitioning",A0A4P9UNW7,1174,folC // EQU24_RS13190 // EQU24_RS13185 // purF,WP_017839057.1,||None,"peptidoglycan binding
integral component of membrane
glycosaminoglycan binding
cytokinesis
cytokinetic process","['peptidoglycan binding' 'integral component of membrane'
 'glycosaminoglycan binding' 'cytokinesis' 'cytokinetic process']"
